,neighbourhood_code,neigbourhood,neighbourhood_combination_code,district_code,surface_m2,geometry
22,F88f,Nieuw Sloten Noordoost,F88,F,480227.0,"POLYGON ((4.808162 52.350888, 4.811103 52.351479, 4.811712 52.351572, 4.812231 52.351625, 4.812665 52.351651, 4.812956 52.35166, 4.814195 52.351651, 4.820437 52.351738, 4.821179 52.351731, 4.821265 52.348964, 4.821296 52.348636, 4.82136 52.348432, 4.822227 52.346771, 4.822097 52.346693, 4.82208 52.346647, 4.822102 52.346521, 4.82081 52.346444, 4.816436 52.346401, 4.816068 52.346391, 4.811685 52.346342, 4.811189 52.346316, 4.810698 52.346261, 4.810434 52.346784, 4.810231 52.347047, 4.808162 52.350888))"
23,F88g,Belgiëplein e.o.,F88,F,82888.7,"POLYGON ((4.806335 52.345394, 4.809782 52.346093, 4.810698 52.346261, 4.811189 52.346316, 4.811685 52.346342, 4.816068 52.346391, 4.816103 52.345233, 4.816079 52.345177, 4.816038 52.345132, 4.815967 52.345087, 4.815881 52.345056, 4.81583 52.345046, 4.815715 52.34504, 4.811428 52.344989, 4.806729 52.344959, 4.806617 52.344991, 4.806551 52.345038, 4.806335 52.345394))"
24,F88h,Nieuw Sloten Zuidwest,F88,F,231665.0,"POLYGON ((4.799938 52.344948, 4.80048 52.344853, 4.800615 52.344804, 4.800858 52.344738, 4.801009 52.344706, 4.801237 52.344673, 4.801591 52.344641, 4.801816 52.344632, 4.802127 52.344632, 4.802326 52.344641, 4.80285 52.344691, 4.806335 52.345394, 4.806551 52.345038, 4.806617 52.344991, 4.806729 52.344959, 4.811428 52.344989, 4.811517 52.34233, 4.810453 52.34233, 4.810275 52.342314, 4.810201 52.3423, 4.810037 52.342245, 4.809949 52.342231, 4.809191 52.342206, 4.80454 52.342129, 4.803961 52.34211, 4.803446 52.342117, 4.802245 52.342105, 4.802125 52.342096, 4.801952 52.342072, 4.80137 52.341957, 4.801652 52.343127, 4.799312 52.343568, 4.799938 52.344948))"
25,F88i,Nieuw Sloten Zuidoost,F88,F,256133.0,"POLYGON ((4.811428 52.344989, 4.815715 52.34504, 4.81583 52.345046, 4.815881 52.345056, 4.815967 52.345087, 4.816038 52.345132, 4.816079 52.345177, 4.816103 52.345233, 4.816068 52.346391, 4.816436 52.346401, 4.82081 52.346444, 4.822102 52.346521, 4.822127 52.346177, 4.822106 52.346012, 4.822124 52.345936, 4.822203 52.345839, 4.822703 52.345439, 4.822814 52.345317, 4.822934 52.345142, 4.822946 52.345102, 4.822956 52.344898, 4.822944 52.344832, 4.822904 52.344706, 4.822837 52.344585, 4.822743 52.344471, 4.822575 52.344328, 4.822477 52.344266, 4.821004 52.343451, 4.820914 52.343386, 4.820828 52.343293, 4.820303 52.343293, 4.820111 52.343032, 4.820038 52.342981, 4.819926 52.342933, 4.819832 52.342909, 4.819764 52.342901, 4.819015 52.342891, 4.81893 52.34288, 4.818846 52.342848, 4.818303 52.342582, 4.818144 52.34254, 4.818019 52.342521, 4.816994 52.34251, 4.816852 52.342528, 4.816563 52.342595, 4.81642 52.342609, 4.814391 52.342585, 4.814312 52.342564, 4.814273 52.34253, 4.814253 52.342486, 4.814082 52.342402, 4.813989 52.34237, 4.813914 52.342358, 4.811517 52.34233, 4.811428 52.344989))"
26,K24a,Hemonybuurt,K24,K,139968.0,"POLYGON ((4.899246 52.358093, 4.901675 52.358588, 4.904 52.359041, 4.904633 52.359205, 4.904891 52.358744, 4.906055 52.356161, 4.904949 52.355978, 4.904826 52.355949, 4.901245 52.354821, 4.899795 52.356655, 4.899333 52.357696, 4.899246 52.358093))"
27,K24b,Gerard Doubuurt,K24,K,106349.0,"POLYGON ((4.890417 52.355429, 4.890466 52.355577, 4.890843 52.35794, 4.890879 52.358362, 4.891044 52.358348, 4.896178 52.358039, 4.898039 52.357927, 4.898259 52.357941, 4.898512 52.357353, 4.895452 52.35646, 4.890417 52.355429))"
28,K24c,Frans Halsbuurt,K24,K,121403.0,"POLYGON ((4.886724 52.358724, 4.886795 52.359593, 4.886964 52.359917, 4.887389 52.360225, 4.88766 52.360082, 4.887951 52.359889, 4.888181 52.359693, 4.888301 52.359567, 4.888411 52.359433, 4.888626 52.359236, 4.888919 52.359018, 4.889243 52.358825, 4.889431 52.358732, 4.889633 52.358648, 4.890038 52.358516, 4.890423 52.358427, 4.890695 52.358383, 4.890879 52.358362, 4.890843 52.35794, 4.890466 52.355577, 4.890417 52.355429, 4.889073 52.355156, 4.886698 52.355287, 4.886582 52.356846, 4.886604 52.357259, 4.886724 52.358724))"
29,K24d,Hercules Seghersbuurt,K24,K,84502.0,"POLYGON ((4.88676 52.354614, 4.886698 52.355287, 4.889073 52.355156, 4.890417 52.355429, 4.890357 52.355269, 4.890316 52.355023, 4.890314 52.35495, 4.890336 52.354818, 4.890687 52.353985, 4.891135 52.352784, 4.887074 52.352241, 4.886787 52.352223, 4.886486 52.352229, 4.886498 52.35274, 4.886515 52.352872, 4.886599 52.353094, 4.886678 52.353235, 4.886772 52.353372, 4.886785 52.353931, 4.886778 52.354404, 4.88676 52.354614))"
30,K24e,Sarphatiparkbuurt,K24,K,227571.0,"POLYGON ((4.890417 52.355429, 4.895452 52.35646, 4.898512 52.357353, 4.898259 52.357941, 4.898561 52.357971, 4.89881 52.358006, 4.899246 52.358093, 4.899333 52.357696, 4.899795 52.356655, 4.901245 52.354821, 4.89909 52.354142, 4.894556 52.353242, 4.891135 52.352784, 4.890687 52.353985, 4.890336 52.354818, 4.890314 52.35495, 4.890316 52.355023, 4.890357 52.355269, 4.890417 52.355429))"
31,K25a,Willibrordusbuurt,K25,K,124015.0,"POLYGON ((4.901245 52.354821, 4.904826 52.355949, 4.904949 52.355978, 4.906055 52.356161, 4.906552 52.355377, 4.908363 52.353382, 4.905213 52.352599, 4.904176 52.352366, 4.903032 52.352164, 4.902823 52.352768, 4.902548 52.353251, 4.901999 52.353908, 4.901626 52.35432, 4.901245 52.354821))"
